"year","stock","abundance","total_catch"
2013,"Monterey Bay",3623,0
2013,"Morro Bay",-999,4
2013,"Northern California - Southern Oregon",15802,-999
2013,"San Francisco - Russian River",6843,1
2014,"Monterey Bay",-999,0
2014,"Morro Bay",-999,1
2014,"Northern California - Southern Oregon",13511,-999
2014,"San Francisco - Russian River",7859,1
2015,"Monterey Bay",-999,1
2015,"Morro Bay",-999,1
2015,"Northern California - Southern Oregon",12824,-999
2015,"San Francisco - Russian River",7791,1
2016,"Monterey Bay",-999,0
2016,"Morro Bay",-999,2
2016,"Northern California - Southern Oregon",12137,-999
2016,"San Francisco - Russian River",7791,0
2017,"Monterey Bay",-999,0
2017,"Morro Bay",-999,0
2017,"San Francisco - Russian River",7995,0
2018,"Monterey Bay",-999,0
2018,"Morro Bay",-999,0
2018,"San Francisco - Russian River",-999,1
2019,"Monterey Bay",-999,0
2019,"Morro Bay",-999,0
2019,"San Francisco - Russian River",-999,0
2020,"Monterey Bay",-999,0
2020,"Morro Bay",-999,0
2020,"San Francisco - Russian River",-999,0
2021,"Monterey Bay",-999,0
2021,"Morro Bay",-999,0
2021,"San Francisco - Russian River",-999,1
